school_id,school_name,city,state,region,school_type,boarding_type
SCH001,Jain International School,Bengaluru,Karnataka,South,Private,Residential
SCH002,The TonsBridge School,Dehradun,Uttarakhand,North,Private,Residential
SCH003,Tula's International School,Dehradun,Uttarakhand,North,Private,Residential
SCH004,Hopetown Girls' School,Dehradun,Uttarakhand,North,Private,Residential
SCH005,Shivalik School,Dehradun,Uttarakhand,North,Private,Residential
SCH006,Mann School,Delhi,Delhi,North,Private,Residential
SCH007,Sehwag International School,Jhajjar,Haryana,North,Private,Residential
SCH008,Mussoorie International School,Mussoorie,Uttarakhand,North,Private,Residential
SCH009,Heritage School,Vrindavan,Uttar Pradesh,North,Private,Residential
SCH010,Delhi Public School,Patna,Bihar,East,Private,Day
SCH011,The Doon School,Dehradun,Uttarakhand,North,Private,Residential
SCH012,Welham Boys' School,Dehradun,Uttarakhand,North,Private,Residential
SCH013,Welham Girls' School,Dehradun,Uttarakhand,North,Private,Residential
SCH014,The Asian School,Dehradun,Uttarakhand,North,Private,Residential
SCH015,SelaQui International School,Dehradun,Uttarakhand,North,Private,Residential
SCH016,Ecole Globale International Girls' School,Dehradun,Uttarakhand,North,Private,Residential
SCH017,Unison World School,Dehradun,Uttarakhand,North,Private,Residential
SCH018,Kasiga School,Dehradun,Uttarakhand,North,Private,Residential
SCH019,Doon International School,Dehradun,Uttarakhand,North,Private,Day
SCH020,Doon Global School,Dehradun,Uttarakhand,North,Private,Day
SCH021,The Aryan School,Dehradun,Uttarakhand,North,Private,Residential
SCH022,Vantage Hall Girls' Residential School,Dehradun,Uttarakhand,North,Private,Residential
SCH023,Shigally Hill International Academy,Dehradun,Uttarakhand,North,Private,Residential
SCH024,The Pestle Weed School,Dehradun,Uttarakhand,North,Private,Residential
SCH025,The Indian Public School,Dehradun,Uttarakhand,North,Private,Residential
SCH026,Cambrian Hall,Dehradun,Uttarakhand,North,Private,Residential
SCH027,Col. Brown Cambridge School,Dehradun,Uttarakhand,North,Private,Residential
SCH028,Woodstock School,Mussoorie,Uttarakhand,North,Private,Residential
SCH029,St. George's College,Mussoorie,Uttarakhand,North,Private,Residential
SCH030,Guru Nanak Fifth Centenary School,Mussoorie,Uttarakhand,North,Private,Residential
SCH031,"The Lawrence School, Sanawar",Solan,Himachal Pradesh,North,Private,Residential
SCH032,Bishop Cotton School,Shimla,Himachal Pradesh,North,Private,Residential
