application_id,student_id,school_id,application_date,grade,status
APP000001,STU011491,SCH070,2022-11-02 00:00:00,Grade 9,Under Review
APP000002,STU020567,SCH057,2022-04-05 00:00:00,Grade 11,Applied
APP000003,STU015948,SCH046,2025-01-25 00:00:00,Grade 8,Applied
APP000004,STU013123,SCH100,2021-06-08 00:00:00,Grade 11,Applied
APP000005,STU018432,SCH029,2025-10-07 00:00:00,Grade 11,Applied
APP000006,STU008565,SCH072,2026-05-18 00:00:00,Grade 7,Under Review
APP000007,STU016519,SCH001,2024-07-03 00:00:00,Grade 6,Under Review
APP000008,STU017857,SCH034,2022-03-01 00:00:00,Grade 9,Rejected
APP000009,STU022378,SCH027,2022-03-31 00:00:00,Grade 8,Accepted
APP000010,STU015099,SCH028,2022-12-17 00:00:00,Grade 9,Accepted
APP000011,STU020864,SCH097,2026-04-16 00:00:00,Grade 8,Under Review
APP000012,STU003003,SCH020,2023-04-07 00:00:00,Grade 10,Rejected
APP000013,STU024439,SCH048,2026-01-08 00:00:00,Grade 8,Accepted
APP000014,STU012759,SCH016,2021-08-25 00:00:00,Grade 8,Applied
APP000015,STU015625,SCH006,2022-02-03 00:00:00,Grade 10,Accepted
APP000016,STU024562,SCH047,2023-06-04 00:00:00,Grade 6,Rejected
APP000017,STU012340,SCH093,2023-02-05 00:00:00,Grade 11,Accepted
APP000018,STU022803,SCH024,2024-08-13 00:00:00,Grade 11,Under Review
APP000019,STU014408,SCH025,2024-07-04 00:00:00,Grade 6,Under Review
APP000020,STU007731,SCH001,2021-09-27 00:00:00,Grade 6,Accepted
APP000021,STU017460,SCH077,2021-07-04 00:00:00,Grade 9,Applied
APP000022,STU014532,SCH005,2025-10-19 00:00:00,Grade 6,Accepted
APP000023,STU012901,SCH049,2025-07-24 00:00:00,Grade 11,Applied
APP000024,STU020384,SCH032,2024-06-16 00:00:00,Grade 9,Accepted
APP000025,STU008140,SCH018,2023-04-12 00:00:00,Grade 8,Applied
APP000026,STU019221,SCH074,2026-01-27 00:00:00,Grade 10,Applied
APP000027,STU001687,SCH088,2022-11-09 00:00:00,Grade 6,Accepted
APP000028,STU009042,SCH056,2022-08-14 00:00:00,Grade 8,Applied
APP000029,STU010686,SCH068,2025-05-01 00:00:00,Grade 7,Applied
APP000030,STU001133,SCH089,2022-04-09 00:00:00,Grade 11,Rejected
APP000031,STU016614,SCH060,2025-04-06 00:00:00,Grade 8,Rejected
APP000032,STU004039,SCH063,2021-05-31 00:00:00,Grade 6,Accepted
APP000033,STU008992,SCH049,2025-04-22 00:00:00,Grade 11,Applied
APP000034,STU003413,SCH033,2024-03-13 00:00:00,Grade 9,Applied
APP000035,STU014553,SCH003,2024-09-14 00:00:00,Grade 6,Under Review
APP000036,STU007269,SCH063,2022-06-23 00:00:00,Grade 6,Applied
APP000037,STU010099,SCH067,2026-04-05 00:00:00,Grade 6,Accepted
APP000038,STU004736,SCH098,2022-07-17 00:00:00,Grade 9,Accepted
APP000039,STU001434,SCH021,2025-09-19 00:00:00,Grade 8,Rejected
APP000040,STU002846,SCH057,2024-04-20 00:00:00,Grade 6,Applied
APP000041,STU012586,SCH091,2024-09-06 00:00:00,Grade 7,Accepted
APP000042,STU004423,SCH066,2022-10-28 00:00:00,Grade 10,Rejected
APP000043,STU020915,SCH038,2024-07-01 00:00:00,Grade 9,Accepted
APP000044,STU003967,SCH031,2024-10-27 00:00:00,Grade 6,Under Review
APP000045,STU017822,SCH057,2022-07-11 00:00:00,Grade 10,Accepted
APP000046,STU011454,SCH081,2025-05-19 00:00:00,Grade 7,Applied
APP000047,STU010279,SCH005,2026-08-22 00:00:00,Grade 11,Accepted
APP000048,STU003621,SCH087,2026-07-02 00:00:00,Grade 6,Applied
APP000049,STU014203,SCH005,2023-10-28 00:00:00,Grade 6,Accepted
APP000050,STU021627,SCH087,2023-08-10 00:00:00,Grade 9,Applied
APP000051,STU006127,SCH078,2022-08-24 00:00:00,Grade 11,Under Review
APP000052,STU016610,SCH079,2025-08-27 00:00:00,Grade 10,Applied
APP000053,STU024306,SCH012,2021-04-10 00:00:00,Grade 11,Accepted
APP000054,STU022385,SCH050,2025-03-23 00:00:00,Grade 6,Under Review
APP000055,STU020991,SCH091,2024-08-22 00:00:00,Grade 9,Under Review
APP000056,STU017379,SCH058,2026-07-13 00:00:00,Grade 9,Applied
APP000057,STU011597,SCH044,2022-12-18 00:00:00,Grade 6,Applied
APP000058,STU004716,SCH036,2025-06-18 00:00:00,Grade 11,Rejected
APP000059,STU017532,SCH027,2025-09-22 00:00:00,Grade 8,Accepted
APP000060,STU019087,SCH030,2026-01-21 00:00:00,Grade 10,Under Review
APP000061,STU000455,SCH008,2024-11-01 00:00:00,Grade 8,Applied
APP000062,STU015218,SCH036,2024-11-12 00:00:00,Grade 11,Accepted
APP000063,STU019700,SCH047,2023-10-15 00:00:00,Grade 10,Applied
APP000064,STU023053,SCH027,2023-01-05 00:00:00,Grade 9,Applied
APP000065,STU002642,SCH065,2021-06-07 00:00:00,Grade 7,Accepted
APP000066,STU019873,SCH070,2024-12-05 00:00:00,Grade 6,Applied
APP000067,STU013393,SCH016,2023-10-29 00:00:00,Grade 10,Applied
APP000068,STU023105,SCH080,2023-01-08 00:00:00,Grade 6,Accepted
APP000069,STU001621,SCH014,2024-09-10 00:00:00,Grade 9,Accepted
APP000070,STU010135,SCH028,2021-10-27 00:00:00,Grade 7,Accepted
APP000071,STU021141,SCH080,2024-11-27 00:00:00,Grade 8,Accepted
APP000072,STU010591,SCH082,2024-07-13 00:00:00,Grade 9,Applied
APP000073,STU013212,SCH058,2025-06-30 00:00:00,Grade 8,Applied
APP000074,STU018790,SCH089,2021-05-22 00:00:00,Grade 6,Applied
APP000075,STU008605,SCH040,2022-01-12 00:00:00,Grade 7,Applied
APP000076,STU011641,SCH073,2024-05-18 00:00:00,Grade 7,Accepted
APP000077,STU024964,SCH049,2025-06-17 00:00:00,Grade 10,Applied
APP000078,STU006105,SCH003,2023-02-15 00:00:00,Grade 6,Accepted
APP000079,STU010925,SCH086,2023-03-08 00:00:00,Grade 10,Accepted
APP000080,STU007845,SCH002,2025-10-12 00:00:00,Grade 9,Applied
APP000081,STU000687,SCH031,2025-11-16 00:00:00,Grade 6,Under Review
APP000082,STU003873,SCH029,2023-09-23 00:00:00,Grade 8,Under Review
