enrollment_id,student_id,school_id,enrolled_at,status,fee_amount
ENR000001,STU018577,SCH069,2021-09-21 00:00:00,Enrolled,165987
ENR000002,STU015167,SCH080,2022-07-13 00:00:00,Withdrawn,108465
ENR000003,STU006035,SCH092,2023-09-16 00:00:00,Enrolled,59815
ENR000004,STU009277,SCH014,2025-07-16 00:00:00,Enrolled,46370
ENR000005,STU014541,SCH053,2025-03-23 00:00:00,Enrolled,135911
ENR000006,STU003163,SCH073,2025-11-01 00:00:00,Withdrawn,156340
ENR000007,STU023457,SCH055,2023-09-15 00:00:00,Enrolled,122930
ENR000008,STU006644,SCH092,2021-05-11 00:00:00,Enrolled,174930
ENR000009,STU011223,SCH019,2026-01-12 00:00:00,Enrolled,77632
ENR000010,STU018660,SCH081,2026-01-06 00:00:00,Enrolled,154459
ENR000011,STU022042,SCH029,2021-03-30 00:00:00,Enrolled,210165
ENR000012,STU019295,SCH080,2021-02-27 00:00:00,Enrolled,95020
ENR000013,STU003742,SCH011,2021-12-05 00:00:00,Enrolled,161277
ENR000014,STU000460,SCH001,2025-08-05 00:00:00,Enrolled,100558
ENR000015,STU023021,SCH001,2023-08-09 00:00:00,Enrolled,236966
ENR000016,STU015169,SCH001,2026-02-02 00:00:00,Enrolled,237865
ENR000017,STU000999,SCH086,2025-03-23 00:00:00,Enrolled,150858
ENR000018,STU010286,SCH052,2022-07-17 00:00:00,Enrolled,227223
ENR000019,STU003152,SCH077,2023-02-23 00:00:00,Enrolled,178769
ENR000020,STU000236,SCH049,2026-05-21 00:00:00,Enrolled,242487
ENR000021,STU012807,SCH021,2022-01-23 00:00:00,Enrolled,243739
ENR000022,STU014665,SCH030,2024-08-18 00:00:00,Enrolled,217303
ENR000023,STU006221,SCH002,2024-06-06 00:00:00,Enrolled,209188
ENR000024,STU001945,SCH072,2026-01-29 00:00:00,Enrolled,46485
ENR000025,STU016113,SCH029,2022-07-05 00:00:00,Enrolled,186708
ENR000026,STU010580,SCH026,2025-05-16 00:00:00,Enrolled,97052
ENR000027,STU005137,SCH086,2023-09-30 00:00:00,Enrolled,111942
ENR000028,STU022645,SCH008,2023-01-07 00:00:00,Enrolled,61235
ENR000029,STU013196,SCH088,2024-06-30 00:00:00,Enrolled,94746
ENR000030,STU005392,SCH073,2021-07-06 00:00:00,Enrolled,166246
ENR000031,STU024070,SCH091,2022-09-03 00:00:00,Enrolled,178688
ENR000032,STU014894,SCH018,2024-07-14 00:00:00,Enrolled,249695
ENR000033,STU015424,SCH078,2025-04-21 00:00:00,Enrolled,123211
ENR000034,STU021961,SCH084,2023-11-08 00:00:00,Enrolled,47776
ENR000035,STU003047,SCH019,2024-07-14 00:00:00,Enrolled,106976
ENR000036,STU024933,SCH018,2025-03-11 00:00:00,Enrolled,167098
ENR000037,STU003929,SCH031,2022-05-20 00:00:00,Enrolled,100742
ENR000038,STU019108,SCH039,2025-06-23 00:00:00,Enrolled,150565
ENR000039,STU007823,SCH004,2026-05-23 00:00:00,Enrolled,192944
ENR000040,STU018883,SCH062,2021-11-10 00:00:00,Withdrawn,66918
ENR000041,STU017482,SCH044,2022-11-02 00:00:00,Enrolled,88543
ENR000042,STU018830,SCH100,2021-04-01 00:00:00,Enrolled,167779
ENR000043,STU003614,SCH021,2026-06-23 00:00:00,Enrolled,139236
ENR000044,STU013551,SCH045,2024-11-12 00:00:00,Enrolled,112469
ENR000045,STU002115,SCH029,2025-09-12 00:00:00,Enrolled,143916
ENR000046,STU017478,SCH006,2021-09-25 00:00:00,Enrolled,217855
ENR000047,STU013752,SCH082,2023-03-14 00:00:00,Enrolled,224649
ENR000048,STU012658,SCH030,2024-03-15 00:00:00,Enrolled,134741
ENR000049,STU004677,SCH046,2023-01-02 00:00:00,Enrolled,198245
ENR000050,STU000172,SCH050,2024-08-02 00:00:00,Enrolled,231233
ENR000051,STU003467,SCH039,2025-02-15 00:00:00,Enrolled,112656
ENR000052,STU010672,SCH051,2024-11-25 00:00:00,Enrolled,93575
ENR000053,STU000437,SCH067,2025-07-11 00:00:00,Enrolled,115199
ENR000054,STU016495,SCH033,2025-08-03 00:00:00,Enrolled,140037
ENR000055,STU016401,SCH091,2025-08-08 00:00:00,Enrolled,65927
ENR000056,STU010135,SCH028,2021-11-07 00:00:00,Enrolled,243528
ENR000057,STU021147,SCH067,2026-01-11 00:00:00,Enrolled,95450
ENR000058,STU015797,SCH100,2022-07-05 00:00:00,Enrolled,227977
ENR000059,STU009989,SCH072,2022-10-12 00:00:00,Enrolled,242292
ENR000060,STU024833,SCH049,2023-04-29 00:00:00,Enrolled,55338
ENR000061,STU020190,SCH067,2025-06-30 00:00:00,Enrolled,90559
ENR000062,STU014991,SCH056,2024-09-20 00:00:00,Enrolled,161897
ENR000063,STU002570,SCH009,2023-03-18 00:00:00,Enrolled,102031
ENR000064,STU005717,SCH073,2024-01-27 00:00:00,Enrolled,239280
ENR000065,STU001711,SCH065,2025-02-08 00:00:00,Enrolled,208896
ENR000066,STU018547,SCH054,2022-10-02 00:00:00,Enrolled,115559
ENR000067,STU000365,SCH098,2022-05-11 00:00:00,Enrolled,209279
ENR000068,STU000752,SCH096,2022-08-18 00:00:00,Enrolled,221933
ENR000069,STU023228,SCH019,2022-09-09 00:00:00,Enrolled,217415
ENR000070,STU014322,SCH029,2025-04-18 00:00:00,Enrolled,138366
ENR000071,STU001032,SCH025,2024-04-01 00:00:00,Enrolled,90469
ENR000072,STU018250,SCH026,2021-07-22 00:00:00,Enrolled,73346
ENR000073,STU011403,SCH046,2025-12-15 00:00:00,Enrolled,170840
ENR000074,STU011647,SCH007,2021-07-12 00:00:00,Withdrawn,192163
ENR000075,STU023149,SCH038,2024-11-09 00:00:00,Enrolled,215618
ENR000076,STU004912,SCH088,2023-01-11 00:00:00,Enrolled,175410
ENR000077,STU001696,SCH053,2026-04-18 00:00:00,Enrolled,105358
ENR000078,STU008103,SCH069,2021-12-16 00:00:00,Enrolled,248649
ENR000079,STU007975,SCH053,2021-06-21 00:00:00,Enrolled,219063
ENR000080,STU009056,SCH052,2023-02-26 00:00:00,Enrolled,97006
ENR000081,STU006259,SCH073,2024-11-15 00:00:00,Enrolled,239915
ENR000082,STU018278,SCH070,2022-06-16 00:00:00,Enrolled,123901
ENR000083,STU022913,SCH006,2024-04-11 00:00:00,Enrolled,67937
ENR000084,STU023603,SCH082,2021-03-25 00:00:00,Enrolled,139137
ENR000085,STU018667,SCH042,2022-12-18 00:00:00,Enrolled,160505
ENR000086,STU012355,SCH059,2021-12-13 00:00:00,Enrolled,161363
ENR000087,STU024359,SCH047,2024-09-16 00:00:00,Enrolled,77839
ENR000088,STU016492,SCH019,2026-09-04 00:00:00,Enrolled,60964
ENR000089,STU000247,SCH086,2025-10-31 00:00:00,Enrolled,74301
ENR000090,STU021102,SCH064,2025-07-12 00:00:00,Enrolled,70032
ENR000091,STU006866,SCH028,2025-10-26 00:00:00,Enrolled,180331
ENR000092,STU011718,SCH005,2024-09-28 00:00:00,Enrolled,174864
ENR000093,STU017183,SCH011,2026-02-17 00:00:00,Enrolled,93558
ENR000094,STU003946,SCH071,2023-08-14 00:00:00,Enrolled,191629
ENR000095,STU005993,SCH013,2021-05-28 00:00:00,Enrolled,149594
ENR000096,STU005273,SCH065,2021-11-12 00:00:00,Enrolled,217909
ENR000097,STU002887,SCH016,2023-01-23 00:00:00,Enrolled,106709
ENR000098,STU000451,SCH054,2023-03-21 00:00:00,Enrolled,135517
ENR000099,STU015171,SCH032,2024-06-06 00:00:00,Enrolled,108398
ENR000100,STU016136,SCH083,2021-06-10 00:00:00,Enrolled,152431
ENR000101,STU000479,SCH028,2022-05-28 00:00:00,Enrolled,226450
ENR000102,STU003646,SCH028,2024-04-28 00:00:00,Enrolled,154716
ENR000103,STU021791,SCH039,2026-05-07 00:00:00,Enrolled,86311
ENR000104,STU013418,SCH074,2025-02-27 00:00:00,Enrolled,45262
ENR000105,STU010905,SCH024,2026-05-08 00:00:00,Enrolled,133388
ENR000106,STU009670,SCH020,2026-07-28 00:00:00,Enrolled,49218
ENR000107,STU009499,SCH005,2026-02-07 00:00:00,Enrolled,229253
ENR000108,STU019261,SCH042,2024-11-16 00:00:00,Enrolled,96736
ENR000109,STU008269,SCH010,2025-04-20 00:00:00,Enrolled,136995
ENR000110,STU015133,SCH097,2023-02-18 00:00:00,Enrolled,60576
ENR000111,STU000089,SCH074,2025-12-20 00:00:00,Enrolled,73412
ENR000112,STU016308,SCH094,2024-11-22 00:00:00,Withdrawn,209721
ENR000113,STU020887,SCH049,2021-04-29 00:00:00,Enrolled,66754
ENR000114,STU020357,SCH081,2023-01-30 00:00:00,Enrolled,54715
ENR000115,STU013498,SCH068,2024-04-12 00:00:00,Enrolled,93919
ENR000116,STU004885,SCH041,2023-03-13 00:00:00,Enrolled,59447
ENR000117,STU010479,SCH004,2021-07-07 00:00:00,Enrolled,86035
ENR000118,STU002445,SCH004,2025-01-24 00:00:00,Enrolled,163294
ENR000119,STU019630,SCH015,2022-08-15 00:00:00,Enrolled,120564
ENR000120,STU011105,SCH063,2025-07-12 00:00:00,Enrolled,234958
ENR000121,STU009967,SCH049,2021-03-09 00:00:00,Enrolled,55525
ENR000122,STU022278,SCH094,2023-04-19 00:00:00,Enrolled,119521
ENR000123,STU002290,SCH055,2023-08-22 00:00:00,Enrolled,206579
ENR000124,STU008132,SCH030,2025-01-18 00:00:00,Withdrawn,59584
ENR000125,STU024619,SCH027,2026-10-01 00:00:00,Enrolled,90927
ENR000126,STU006069,SCH075,2026-07-21 00:00:00,Enrolled,58813
ENR000127,STU019893,SCH039,2023-04-03 00:00:00,Enrolled,192348
ENR000128,STU021353,SCH083,2024-09-23 00:00:00,Enrolled,197573
ENR000129,STU011551,SCH058,2022-12-08 00:00:00,Enrolled,111724
ENR000130,STU020867,SCH073,2022-05-02 00:00:00,Enrolled,67480
ENR000131,STU000600,SCH041,2022-02-17 00:00:00,Enrolled,242157
ENR000132,STU006336,SCH041,2021-04-26 00:00:00,Enrolled,206368
ENR000133,STU024309,SCH088,2022-01-24 00:00:00,Enrolled,169365
ENR000134,STU023318,SCH026,2022-06-08 00:00:00,Enrolled,52059
ENR000135,STU011551,SCH095,2025-08-08 00:00:00,Enrolled,109446
ENR000136,STU008000,SCH036,2026-02-03 00:00:00,Enrolled,211938
ENR000137,STU013443,SCH004,2023-07-03 00:00:00,Enrolled,64282
ENR000138,STU004282,SCH047,2022-07-15 00:00:00,Enrolled,50009
ENR000139,STU008063,SCH031,2025-08-22 00:00:00,Enrolled,45562
ENR000140,STU017720,SCH089,2021-05-15 00:00:00,Enrolled,230686
ENR000141,STU002674,SCH036,2025-10-09 00:00:00,Enrolled,221552
ENR000142,STU006247,SCH010,2024-04-07 00:00:00,Enrolled,128644
ENR000143,STU009633,SCH098,2022-02-10 00:00:00,Enrolled,66013
ENR000144,STU001077,SCH053,2023-07-05 00:00:00,Enrolled,161458
ENR000145,STU018744,SCH001,2021-12-26 00:00:00,Enrolled,222825
ENR000146,STU017276,SCH014,2021-12-22 00:00:00,Enrolled,161536
ENR000147,STU021097,SCH084,2025-06-06 00:00:00,Enrolled,161807
ENR000148,STU024634,SCH095,2022-05-07 00:00:00,Enrolled,205154
ENR000149,STU002473,SCH069,2023-10-22 00:00:00,Enrolled,234602
ENR000150,STU001096,SCH091,2025-04-25 00:00:00,Enrolled,55646
ENR000151,STU006809,SCH062,2022-08-13 00:00:00,Enrolled,242957
ENR000152,STU023159,SCH020,2025-05-12 00:00:00,Enrolled,216375
ENR000153,STU014606,SCH070,2022-04-22 00:00:00,Enrolled,137928
ENR000154,STU017692,SCH053,2023-12-20 00:00:00,Enrolled,83833
ENR000155,STU005897,SCH098,2023-03-16 00:00:00,Enrolled,96025
ENR000156,STU011652,SCH081,2021-12-06 00:00:00,Enrolled,78813
ENR000157,STU004836,SCH003,2021-12-19 00:00:00,Enrolled,135384
ENR000158,STU024968,SCH020,2026-02-23 00:00:00,Enrolled,228983
ENR000159,STU022126,SCH002,2022-12-09 00:00:00,Enrolled,124607
ENR000160,STU014314,SCH098,2022-03-24 00:00:00,Enrolled,48811
ENR000161,STU023605,SCH042,2025-06-12 00:00:00,Enrolled,67768
ENR000162,STU006935,SCH036,2023-10-29 00:00:00,Enrolled,114737
ENR000163,STU008294,SCH029,2025-03-14 00:00:00,Enrolled,57150
ENR000164,STU022969,SCH100,2023-04-18 00:00:00,Enrolled,231790
ENR000165,STU000457,SCH050,2024-07-02 00:00:00,Withdrawn,101801
ENR000166,STU020657,SCH064,2022-07-10 00:00:00,Enrolled,107623
ENR000167,STU015025,SCH088,2024-05-25 00:00:00,Enrolled,149108
ENR000168,STU021444,SCH096,2026-03-17 00:00:00,Enrolled,56159
ENR000169,STU006983,SCH064,2023-02-14 00:00:00,Enrolled,227778
ENR000170,STU014736,SCH024,2023-05-08 00:00:00,Enrolled,45174
ENR000171,STU022026,SCH024,2024-10-30 00:00:00,Enrolled,60317
ENR000172,STU006657,SCH086,2026-05-01 00:00:00,Enrolled,245429
ENR000173,STU019479,SCH078,2022-05-29 00:00:00,Enrolled,160782
ENR000174,STU011480,SCH001,2024-10-23 00:00:00,Enrolled,107310
ENR000175,STU012696,SCH012,2023-09-09 00:00:00,Enrolled,47561
ENR000176,STU008490,SCH008,2021-07-15 00:00:00,Enrolled,137313
ENR000177,STU007504,SCH095,2022-07-03 00:00:00,Enrolled,131295
ENR000178,STU009258,SCH025,2021-12-01 00:00:00,Enrolled,139805
ENR000179,STU006586,SCH056,2024-09-11 00:00:00,Enrolled,103389
ENR000180,STU016466,SCH048,2021-05-11 00:00:00,Enrolled,94167
ENR000181,STU001315,SCH034,2024-08-21 00:00:00,Enrolled,220443
ENR000182,STU019138,SCH099,2024-08-06 00:00:00,Enrolled,147536
ENR000183,STU021830,SCH044,2026-05-25 00:00:00,Withdrawn,78285
ENR000184,STU021759,SCH069,2025-04-15 00:00:00,Enrolled,156898
ENR000185,STU021978,SCH083,2021-08-17 00:00:00,Withdrawn,219991
ENR000186,STU017642,SCH094,2025-11-03 00:00:00,Enrolled,98465
ENR000187,STU016039,SCH052,2026-02-13 00:00:00,Withdrawn,222652
ENR000188,STU017400,SCH099,2023-09-28 00:00:00,Enrolled,206667
ENR000189,STU012472,SCH052,2022-12-13 00:00:00,Enrolled,96348
ENR000190,STU013320,SCH047,2021-10-10 00:00:00,Enrolled,169649
ENR000191,STU009562,SCH023,2025-06-21 00:00:00,Enrolled,125618
ENR000192,STU002743,SCH042,2025-11-08 00:00:00,Enrolled,134782
ENR000193,STU017371,SCH059,2022-04-01 00:00:00,Enrolled,79970
ENR000194,STU014796,SCH095,2025-08-12 00:00:00,Enrolled,70699
ENR000195,STU022309,SCH060,2025-09-27 00:00:00,Enrolled,53849
ENR000196,STU002008,SCH052,2021-09-25 00:00:00,Enrolled,93184
ENR000197,STU022211,SCH022,2025-08-14 00:00:00,Enrolled,142311
ENR000198,STU023726,SCH074,2023-11-30 00:00:00,Withdrawn,67303
ENR000199,STU021432,SCH024,2022-11-12 00:00:00,Enrolled,56304
ENR000200,STU014064,SCH052,2023-09-19 00:00:00,Enrolled,92521
ENR000201,STU020817,SCH075,2021-03-29 00:00:00,Enrolled,106890
ENR000202,STU009778,SCH047,2021-03-18 00:00:00,Enrolled,107683
ENR000203,STU010052,SCH087,2026-01-21 00:00:00,Enrolled,62516
ENR000204,STU023507,SCH046,2026-01-02 00:00:00,Enrolled,184170
ENR000205,STU005753,SCH038,2024-01-19 00:00:00,Enrolled,126611
ENR000206,STU005204,SCH018,2024-12-19 00:00:00,Enrolled,127121
ENR000207,STU010200,SCH042,2026-04-14 00:00:00,Enrolled,76158
ENR000208,STU012308,SCH061,2026-05-11 00:00:00,Enrolled,51284
ENR000209,STU002524,SCH021,2026-06-17 00:00:00,Enrolled,133236
ENR000210,STU023067,SCH015,2024-02-04 00:00:00,Enrolled,139317
ENR000211,STU008721,SCH083,2026-07-26 00:00:00,Enrolled,113274
ENR000212,STU009479,SCH036,2024-12-27 00:00:00,Enrolled,157316
ENR000213,STU015474,SCH087,2021-04-16 00:00:00,Enrolled,106962
ENR000214,STU018316,SCH067,2026-07-02 00:00:00,Enrolled,139403
ENR000215,STU015894,SCH074,2025-10-12 00:00:00,Enrolled,196705
ENR000216,STU001249,SCH049,2022-09-20 00:00:00,Enrolled,202632
ENR000217,STU004260,SCH003,2021-04-03 00:00:00,Enrolled,105508
ENR000218,STU015586,SCH012,2022-09-22 00:00:00,Enrolled,104988
ENR000219,STU019451,SCH018,2024-10-25 00:00:00,Enrolled,246418
ENR000220,STU000675,SCH013,2021-05-17 00:00:00,Enrolled,48981
ENR000221,STU004688,SCH041,2024-07-29 00:00:00,Enrolled,125280
ENR000222,STU004552,SCH090,2024-08-16 00:00:00,Enrolled,89266
ENR000223,STU005485,SCH032,2023-08-07 00:00:00,Enrolled,221295
ENR000224,STU011616,SCH079,2021-07-24 00:00:00,Enrolled,214871
ENR000225,STU016858,SCH062,2024-07-23 00:00:00,Enrolled,116856
ENR000226,STU008411,SCH032,2021-06-21 00:00:00,Enrolled,173747
ENR000227,STU015542,SCH081,2021-09-04 00:00:00,Withdrawn,107949
ENR000228,STU024573,SCH041,2025-05-29 00:00:00,Withdrawn,111717
ENR000229,STU007457,SCH050,2024-06-07 00:00:00,Enrolled,72752
ENR000230,STU024376,SCH013,2026-06-25 00:00:00,Enrolled,245772
ENR000231,STU019587,SCH034,2025-03-17 00:00:00,Enrolled,75708
ENR000232,STU015744,SCH044,2024-04-08 00:00:00,Enrolled,54576
ENR000233,STU021732,SCH072,2024-06-27 00:00:00,Enrolled,231254
ENR000234,STU002371,SCH074,2022-06-21 00:00:00,Withdrawn,214840
ENR000235,STU008659,SCH058,2022-02-21 00:00:00,Enrolled,59281
ENR000236,STU023036,SCH089,2021-09-13 00:00:00,Enrolled,105469
ENR000237,STU006004,SCH020,2023-02-23 00:00:00,Enrolled,227730
ENR000238,STU002472,SCH061,2024-05-22 00:00:00,Enrolled,141176
ENR000239,STU024265,SCH063,2022-06-15 00:00:00,Enrolled,181828
ENR000240,STU024430,SCH080,2025-02-27 00:00:00,Enrolled,117654
ENR000241,STU008812,SCH025,2021-03-31 00:00:00,Enrolled,175373
ENR000242,STU016805,SCH030,2022-03-29 00:00:00,Enrolled,209765
ENR000243,STU024692,SCH076,2021-12-30 00:00:00,Enrolled,165897
ENR000244,STU020085,SCH016,2024-10-11 00:00:00,Enrolled,111039
ENR000245,STU001105,SCH038,2022-01-15 00:00:00,Enrolled,95476
ENR000246,STU024183,SCH055,2022-02-20 00:00:00,Enrolled,78944
ENR000247,STU024366,SCH038,2024-01-02 00:00:00,Enrolled,219232
ENR000248,STU012382,SCH074,2023-04-19 00:00:00,Enrolled,75995
ENR000249,STU018585,SCH038,2023-03-22 00:00:00,Enrolled,66975
ENR000250,STU006316,SCH094,2021-04-28 00:00:00,Enrolled,81828
ENR000251,STU023760,SCH097,2023-01-04 00:00:00,Enrolled,130118
ENR000252,STU005879,SCH072,2021-11-27 00:00:00,Enrolled,95629
ENR000253,STU020369,SCH046,2022-08-04 00:00:00,Enrolled,50425
ENR000254,STU001982,SCH037,2021-08-30 00:00:00,Enrolled,73966
