school_id,month,leads,impressions,clicks,spend,applications,enrollments,campaign_id
SCH001,2021-01-01 00:00:00,7,448,42,1332.38,1,0,CMP0001
SCH001,2021-02-01 00:00:00,6,432,30,875.49,2,0,CMP0002
SCH001,2021-03-01 00:00:00,6,264,24,245.33,1,0,CMP0003
SCH001,2021-04-01 00:00:00,6,450,42,1202.49,1,0,CMP0004
SCH001,2021-05-01 00:00:00,8,592,32,458.45,1,0,CMP0005
SCH001,2021-06-01 00:00:00,4,132,12,232.8,0,0,CMP0006
SCH001,2021-07-01 00:00:00,4,232,16,703.25,0,0,CMP0007
SCH001,2021-08-01 00:00:00,4,148,12,327.19,1,0,CMP0008
SCH001,2021-09-01 00:00:00,4,304,8,220.97,1,0,CMP0009
SCH001,2021-10-01 00:00:00,5,320,15,254.42,0,0,CMP0010
SCH001,2021-11-01 00:00:00,4,200,8,201.64,1,0,CMP0011
SCH001,2021-12-01 00:00:00,3,153,15,561.13,0,0,CMP0012
SCH001,2022-02-01 00:00:00,6,420,24,822.86,2,0,CMP0013
SCH001,2022-03-01 00:00:00,5,340,25,581.22,2,0,CMP0014
SCH001,2022-04-01 00:00:00,5,310,30,784.43,2,0,CMP0015
SCH001,2022-05-01 00:00:00,5,110,10,223.42,1,0,CMP0016
SCH001,2022-06-01 00:00:00,8,408,16,598.7,2,0,CMP0017
SCH001,2022-07-01 00:00:00,6,450,30,283.9,1,0,CMP0018
SCH001,2022-08-01 00:00:00,10,350,70,752.72,3,1,CMP0019
SCH001,2022-09-01 00:00:00,4,88,8,147.25,1,0,CMP0020
SCH001,2022-10-01 00:00:00,4,296,8,294.63,0,0,CMP0021
SCH001,2022-11-01 00:00:00,4,152,8,157.43,1,0,CMP0022
SCH001,2022-12-01 00:00:00,5,120,10,343.59,0,0,CMP0023
SCH001,2023-01-01 00:00:00,4,108,12,139.39,1,0,CMP0024
SCH001,2023-02-01 00:00:00,4,156,8,142.67,1,0,CMP0025
SCH001,2023-03-01 00:00:00,11,264,55,821.74,3,1,CMP0026
SCH001,2023-04-01 00:00:00,6,420,18,310.5,1,0,CMP0027
SCH001,2023-05-01 00:00:00,2,148,10,118.38,0,0,CMP0028
SCH001,2023-06-01 00:00:00,7,455,42,885.17,1,0,CMP0029
SCH001,2023-07-01 00:00:00,5,115,30,1050.58,1,0,CMP0030
SCH001,2023-08-01 00:00:00,3,93,18,471.79,0,0,CMP0031
SCH001,2023-09-01 00:00:00,6,270,42,1368.18,1,0,CMP0032
SCH001,2023-10-01 00:00:00,2,58,12,465.96,0,0,CMP0033
SCH001,2023-11-01 00:00:00,5,255,30,710.35,1,0,CMP0034
SCH001,2023-12-01 00:00:00,3,183,21,743.36,0,0,CMP0035
